size_bytes,latency_us
1,39.87
2,79.43
4,80.02
8,40.03
16,39.96
32,40.2
64,39.92
128,40.63
256,40.69
512,41.18
1024,49.34
2048,62.93
4096,131.33
8192,153.24
16384,304.35
32768,570.16
65536,1163.09
131072,2214.18
262144,4643.61
524288,9475.0
1048576,18815.58
