size_bytes,bw_peak_MBps,bw_avg_MBps
2,0.15,0.14
4,0.3,0.29
8,0.62,0.62
16,1.25,1.25
32,2.42,2.42
64,4.88,4.88
128,9.38,9.38
256,19.03,19.03
512,36.63,36.5
1024,75.3,75.29
2048,79.88,79.88
4096,82.51,82.51
8192,104.94,85.88
16384,87.14,85.39
32768,703.36,286.0
65536,87.57,87.53
131072,88.39,88.39
262144,133.58,120.7
524288,131.03,130.02
1048576,133.51,133.12
2097152,84.84,84.78
4194304,130.4,119.94
8388608,126.02,126.02
